FOREIGN TRAVEL FOR LEEDS CITY COUNCIL (April 18 to March 19)     ALL COSTS IN GBP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NAME OF PERSON TRAVELING,JOB TITLE,CITY,COUNTRY,DEPARTURE DATE,RETURN DATE,TOTAL NUMBER OF DAYS AND NIGHTS,REASON FOR VISIT ,CLASS OF FLIGHT i.e business,TRAVEL COSTS                                                                                                                      ,,COST OF ACCOMMODATION ,,EXPENSES - LOCAL TRANSPORT ,,EXPENSES - FOOD & DRINK,,TOTAL COST OF VISIT,TOTAL COSTS TO LCC,TOTAL COSTS TO OTHER ORGANISATIONS (IF KNOWN ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,To LCC,To other,To LCC,To other,To LCC,To other,To LCC,To other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Simon Johnson,Head of Children's Social Care,Berlin,Germany,18.06.18,22.06.18,4 nights/5 days,To present at an Erasmus+ conference on family group conf.,economy,0,207.8,0,304,59.11,0,53.64,0,624.55,112.75,511.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Redacted,Team Manager Family Group Conferencing,Berlin,Germany,18.06.18,22.06.18,4 nights/5 days,To present at an Erasmus+ conference on family group conf.,economy,0,207.8,0,304,59.11,0,53.64,0,624.55,112.75,511.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Redacted,Team Manager Children's Social Work Services,Berlin,Germany,18.06.18,22.06.18,4 nights/5 days,To present at an Erasmus+ conference on family group conf.,economy,0,207.8,0,304,59.11,0,53.64,0,624.55,112.75,511.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Redacted,Team Manager Children's Social Work Services,Berlin,Germany,18.06.18,22.06.18,4 nights/5 days,To present at an Erasmus+ conference on family group conf.,economy,0,207.8,0,304,59.11,0,53.64,0,624.55,112.75,511.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Redacted,Team Manager Children's Social Work Services,Berlin,Germany,18.06.18,22.06.18,4 nights/5 days,To present at an Erasmus+ conference on family group conf.,economy,0,207.8,0,304,59.11,0,53.64,0,624.55,112.75,511.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Redacted,Programme Project Co-ordinator,"Tokyo, Kyoto",Japan,18.06.18,27.06.18,9 nights/10 days,"To research Japanese artists, collections and exhibition opportunities ",economy,0,1075.61,0,771,0,200,0,500,2546.61,0,2546.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saleem Tariq,Deputy Director Children & Families,Burlington VE,USA,27.06.18,01.07.18,4 nights/5 days,To speak at a International Restorative Justice Conference ,economy,0,700,0,723.06,0,0,0,0,1423.06,0,1423.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Redacted,Leeds Film Manager,Karlovy Vary,Czech Republic,28.06.18,06.07.18,8 nights/9 days,To research films for Leeds International Film Festival,economy,0,120,0,776,0,0,0,260,1156,0,1156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Redacted,Bereavement Services Manager ,"Zonnebeke, Saint Symphorien, Bus-les-Artois","Belgium, France",29.06.18,01.07.18,2 nights/3 days,To carry out bereavement work and lay wreaths ,economy,103.46,0,221.19,0,58.46,0,8.57,0,391.68,391.68,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Redacted,Senior Supervising Social Worker,Lisbon,Portugal,29.06.18,11.07.18,12 nights/13 days,To complete an assessment as part of child care work,economy,499.42,0,0,0,753.2,0,120.46,0,1373.08,1373.08,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Redacted,Learning Improvement Consultant,Bacau,Romania,01.07.18,03.07.18,2 nights/3 days,To participate in activities of the Erasmus+ project GRIET,economy,0,320.36,0,91.85,0,5,0,57.6,474.81,0,474.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Redacted,Learning Improvement Consultant,Bacau,Romania,01.07.18,03.07.18,2 nights/3 days,To participate in activities of the Erasmus+ project GRIET,economy,0,320.36,0,91.85,0,5,0,57.6,474.81,0,474.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Redacted,Project Support Officer,Dakar,Senegal,17.07.18,21.07.18,4 nights/5 days,To conduct research for Lincoln Green African Film Festival,economy,0,690.08,0,265.75,0,100,0,125,1180.83,0,1180.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Redacted,Project Officer,Veszprem,Hungary,18.07.18,20.07.18,2 nights/3 days,To meet Veszprem 2023 organisers and discuss cooperation,economy,0,154.17,0,123.9,0,62.41,0,16.11,356.59,0,356.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Redacted,Social Worker,Cork,Ireland,23.07.18,24.07.18,1 night/2 days,To carry out social care work,economy,241.97,0,133.44,0,101.09,0,72,0,548.5,548.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Redacted,Advanced Practitioner,Cork,Ireland,23.07.18,24.07.18,1 night/2 days,To carry out social care work,economy,241.97,0,133.44,0,101.09,0,72,0,548.5,548.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Redacted,Inward Investment Manager,Boston,USA,24.07.18,30.07.18,4 nights/5 days,To participate in an investment mission ,economy,537.71,0,728.93,0,23.23,0,0,0,1289.87,1289.87,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tom Riordan,Chief Executive Officer,Boston,USA,24.07.18,28.07.18,4 nights/5 days,To participate in investment mission ,economy,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
